Governance,Leadership & Governance,"Systemic Risk
Management","Incorporation of
Environmental,
Social, and
Governance
Factors in
Investment
Management &
Advisory","Amount of assets under management, by
asset class, that employ (1) integration of
environmental, social, and governance (ESG)
issues, (2) sustainability themed investing, and
(3) screening",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-410a.1,"Reporting
currency"
Governance,Leadership & Governance,"Systemic Risk
Management","Incorporation of
Environmental,
Social, and
Governance
Factors in
Investment
Management &
Advisory","Description of approach to incorporation of
environmental, social, and governance (ESG)
factors in investment and/or wealth
management processes and strategies",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-410a.2,n/a
Governance,Leadership & Governance,"Systemic Risk
Management","Incorporation of
Environmental,
Social, and
Governance
Factors in
Investment
Management &
Advisory","Description of proxy voting and investee
engagement policies and procedures",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-410a.3,"Reporting
currency"
Governance,Leadership & Governance,Business Ethics,Ethics and integrity,Description of whistleblower policies and procedures,,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-510a.2,n/a
Governance,Leadership & Governance,"Systemic Risk
Management",,"Percentage of open-end fund assets under
management by category of liquidity
classification",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-550a.1,n/a
Governance,Leadership & Governance,"Systemic Risk
Management",,"Description of approach to incorporation of
liquidity risk management programs into
portfolio strategy and redemption risk
management",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-550a.2,n/a
Governance,Leadership & Governance,"Systemic Risk
Management",,"Total exposure to securities financing
transactions",,"ASSET MANAGEMENT & CUSTODY
ACTIVITIES",FN-AC-550a.3,"Reporting
currency"
Governance,Leadership & Governance,"Systemic Risk
Management",,Net exposure to written credit derivatives,,COMMERCIAL BANKS,FN-AC-550a.4,"Reporting
currency"
Social,Social Capital,Data and Privacy,Customer Privacy,"(1) Number of data breaches, (2) percentage
involving personally identifiable information
(PII), (3) number of account holders affected2",,COMMERCIAL BANKS,FN-CB-000.A,"Number,
Reporting
currency"
Social,Social Capital,Data and Privacy,Data Security,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected2",,COMMERCIAL BANKS,FN-CB-230a.1,"Number,
Percentage (%)"
Social,Social Capital,Data and Privacy,Customer Privacy,Description of approach to identifying and addressing data security risks in (1) company operations and (2) products,,COMMERCIAL BANKS,FN-CB-230a.3,n/a
Social,Social Capital,Product impact,Access & Affordability,"(1) Number and (2) amount of loans
outstanding qualified to programs designed to
promote small business and community
development3",,COMMERCIAL BANKS,FN-CB-240a.1,"Number,
Reporting
currency"
Social,Social Capital,Product impact,Access & Affordability,"(1) Number and (2) amount of past due and
nonaccrual loans qualified to programs
designed to promote small business and
community development",,COMMERCIAL BANKS,FN-CB-240a.2,"Number,
Reporting
currency"
Social,Social Capital,Product impact,Access & Affordability,"Number of no-cost retail checking accounts
provided to previously unbanked or
underbanked customers",,COMMERCIAL BANKS,FN-CB-240a.3,Number 
Social,Social Capital,Product impact,Access & Affordability,"Number of participants in financial literacy
initiatives for unbanked, underbanked, or
underserved customers4",,COMMERCIAL BANKS,FN-CB-240a.4,Number
Governance,Leadership & Governance,Systemic Risk Management ,"Incorporation of Environmental, Social, and Governance Factors","Commercial and industrial credit exposure, by industry",,COMMERCIAL BANKS,FN-CB-410a.1,"Reporting
currency"
Governance,Leadership & Governance,Business Ethics,Ethics and integrity,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations5",,COMMERCIAL BANKS,FN-CB-510a.2,
Governance,Leadership & Governance,Business Ethics,Ethics and integrity,Description of whistleblower policies and procedures,,COMMERCIAL BANKS,FN-CB-550a.1,n/a
Social,Social Capital,Data and Privacy,"Customer
Privacy","Number of account holders whose
information is used for secondary purposes2",,CONSUMER FINANCE,FN-CF-220a.1,Number
Social,Social Capital,Data and Privacy,"Customer
Privacy","Total amount of monetary losses as a result of
legal proceedings associated with customer
privacy3",,CONSUMER FINANCE,FN-CF-220a.2,"Reporting
currency"
Social,Social Capital,Selling Practices & Product Labelling,Selling Practices,Percentage of total remuneration for covered employees that is variable and linked to the amount of products and services sold5,,CONSUMER FINANCE,FN-CF-270a.1,Percentage (%)
Social,Social Capital,Selling Practices & Product Labelling,Selling Practices,"Approval rate for (1) credit and (2) pre-paid
products for applicants with FICO scores above
and below 6606",,CONSUMER FINANCE,FN-CF-270a.2,Percentage (%)
Social,Social Capital,Selling Practices & Product Labelling,Selling Practices,"(1) Average fees from add-on products, (2) average APR, (3) average age of accounts, (4) average number of trade lines, and (5) average
annual fees for pre-paid products, for customers with FICO scores above and below 660",,CONSUMER FINANCE,FN-CF-270a.3,"Reporting
currency,
Percentage (%),
Months,
Number,
Reporting
currency"
Social,Social Capital,Selling Practices & Product Labelling,Selling Practices,"(1) Number of complaints filed with the
Consumer Financial Protection Bureau (CFPB),
(2) percentage with monetary or nonmonetary
relief, (3) percentage disputed by
consumer, (4) percentage that resulted in
investigation by the CFPB",,CONSUMER FINANCE,FN-CF-270a.4,"Number,
Percentage (%)"
Social,Social Capital,Selling Practices & Product Labelling,Selling Practices,"Total amount of monetary losses as a result of
legal proceedings associated with selling and
servicing of products7",,INVESTMENT BANKING & BROKERAGE,FN-CF-270a.5,"Reporting
currency"
Social,Human Capital,"Employee Engagement, Diversity & Inclusion ","Employee
Diversity &
Inclusion","Percentage of gender and racial/ethnic group
representation for (1) executive management,
(2) non-executive management, (3)
professionals, and (4) all other employees2",,INVESTMENT BANKING & BROKERAGE,FN-IB-330a.1,"Number,
Reporting
currency"
Governance,Leadership & Governance,Systemic Risk Management ,"Incorporation of
Environmental,
Social, and
Governance
Factors in
Investment
Banking &
Brokerage
Activities","Revenue from (1) underwriting, (2) advisory,
and (3) securitization transactions
incorporating integration of environmental,
social, and governance (ESG) factors, by
industry",,INVESTMENT BANKING & BROKERAGE,FN-IB-410a.1,"Reporting
currency"
